user_id;full_name;login;user_password;role_id
1;Никифорова Весения Николаевна;94d5ous@gmail.com;uzWC67;4
2;Сазонов Руслан Германович;uth4iz@mail.com;2L6KZG;4
3;Одинцов Серафим Артёмович;yzls62@outlook.com;JlFRCZ;4
4;Степанов Михаил Артёмович;1diph5e@tutanota.com;8ntwUp;3
5;Ворсин Петр Евгеньевич;tjde7c@yahoo.com;YOyhfR;3
6;Старикова Елена Павловна;wpmrc3do@tutanota.com;RSbvHv;3
7;Михайлюк Анна Вячеславовна;5d4zbu@tutanota.com;rwVDh9;2
8;Ситдикова Елена Анатольевна;ptec8ym@yahoo.com;LdNyos;2
9;Ворсин Петр Евгеньевич;1qz4kw@mail.com;gynQMT;2
10;Старикова Елена Павловна;4np6se@mail.com;AtnDjr;2
